model,fold,n_prompts,baseline_sample_hallucination_rate,edited_sample_hallucination_rate,baseline_package_hallucination_rate,edited_package_hallucination_rate,baseline_sample_valid_rate,edited_sample_valid_rate,base_no_package,bound_no_package
deepseekcoder,A,1000,0.09700000000000017,0.05360000000000003,0.05563271794378163,0.026528687721935923,0.8273999999999999,0.7229999999999993,0.054,0.2386
deepseekcoder,B,1000,0.09700000000000017,0.10500000000000019,0.05563271794378163,0.050674780723135825,0.8273999999999999,0.8569999999999995,0.054,0.0748
deepseekcoder,C,1000,0.09700000000000017,0.0826000000000001,0.05563271794378163,0.03381196373202638,0.8273999999999999,0.8495999999999996,0.054,0.0822
deepseekcoder,D,1000,0.09700000000000017,0.15640000000000007,0.05563271794378163,0.05927449125666612,0.8273999999999999,0.9086000000000001,0.054,0.0452
qwen3,A,1000,0.06440000000000003,0.02479999999999997,0.031587407285902154,0.014748553603110065,0.7189999999999998,0.7958,0.1994,0.1354
qwen3,B,1000,0.06440000000000003,0.018799999999999983,0.031587407285902154,0.011867022551603523,0.7189999999999998,0.4880000000000001,0.1994,0.4964
qwen3,C,1000,0.06440000000000003,0.03599999999999997,0.031587407285902154,0.018491195801289356,0.7189999999999998,0.6433999999999999,0.1994,0.324
qwen3,D,1000,0.06440000000000003,0.04200000000000001,0.031587407285902154,0.020786318423210454,0.7189999999999998,0.7292000000000002,0.1994,0.2442
llama31,A,1000,0.17359999999999998,0.11760000000000025,0.08955620762344313,0.06150052381678796,0.8439999999999996,0.7514000000000001,0.0494,0.1184
llama31,B,1000,0.17359999999999998,0.1911999999999996,0.08955620762344313,0.10060118430409626,0.8439999999999996,0.7045999999999997,0.0494,0.245
llama31,C,1000,0.17359999999999998,0.15520000000000014,0.08955620762344313,0.07261950893913448,0.8439999999999996,0.9007999999999998,0.0494,0.0094
llama31,D,1000,0.17359999999999998,0.13620000000000018,0.08955620762344313,0.05630654823333541,0.8439999999999996,0.8929999999999998,0.0494,0.0196
